Selection Menu	Title	Dry Fragrance	Wet Aroma	Brightness	Flavor	Body	Finish	Sweetness	Clean Cup	Complexity	Uniformity	Cupper Correction	Score
Australia	Australia -Mountain Top Farm	8.5	8.8	8.4	8.8	8.3	8.7	9	6	6	8	7	87.5
Australia	Australia Mountain Top Farm - Bin 478	8.5	8.8	8.4	8.8	8.3	8.7	9	6	6	8	7	87.5
Bali	Bali Natural Monsooned	7.5	7.8	7	8	9.7	8	7	5	8	6.5	8	82.5
Bali	Bali Kintamani Wet-Hull Arabica	8.6	8.2	7.7	8.4	9.5	8.5	7.8	7	8	7	5	85.7
Bali	Bali Organic "Blue Krishna" Kintamani	8.5	8.4	8.4	8.6	8	8.3	7	6.5	6	8	8	85.7
Bali	Bali Kintamani Arabica	8.6	8.2	7.7	8.4	9.5	8.5	7.5	5	8	6.5	7.5	85.4
Sweet Maria	Espresso Workshop #19 - Indo-Afro-Outro	8.6	8.6	8.7	9	9	8.8	7.7	7.5	9	8.5	4	89.4
Sweet Maria	Espresso Workshop #18 - Hypno-Tiki	8.7	9	9	9	8.7	9.1	7.7	8.4	9.3	8.5	4	91.4
Sweet Maria	Espresso Workshop #17 - Ethiopiques	8.8	8.8	8.9	9	9	8.9	8	8.5	9	8	4	90.9
Sweet Maria	Espresso Workshop #16- Lenny Dee-spresso	8.8	8.8	9	9	8.4	8.8	8.5	9	8.5	9	4	91.8
Sweet Maria	Espresso Workshop #15- Les Baxterizer	8.8	8.5	8.8	9	8.7	8.8	8	8	8	8.5	4	89.1
Sweet Maria	Sweet Maria's El Papuma SWP Decaf Blend	8.6	8.2	8.4	8.4	7	8.3	8.2	8	7.5	9	5	86.6
Sweet Maria	Espresso Workshop #14 - El Santo and Johnny	8.7	8.8	8	9	8.7	8.9	8	8.5	8.5	8.5	4	89.6
Sweet Maria	Espresso Workshop #13 - Grace Note	9.2	8.8	9	9.3	8.8	9.4	8.5	8.5	9	8	4	92.5
Sweet Maria	Espresso Workshop #12 - Consonanza	8.8	8.5	8.8	9.3	9	9.5	8.5	8	8	8.5	4	90.9
Sweet Maria	Sweet Maria's Puro Scuro Blend	8.4	8.4	8.4	8.8	8.5	8.7	7.5	7	8.5	7	6	87.2
Sweet Maria	Espresso Workshop #11 "Tono Alto"	8.7	8.8	9.3	9.8	7	9.6	8.5	9	9	8	5	92.7
Sweet Maria	Espresso Workshop #10 Espresso Profundo	8.9	8.7	8.8	9.4	9.3	9.2	7	7	9	7.5	5	89.8
